time,weather_code,daylight_duration,cloud_cover_mean,cloud_cover_max,cloud_cover_min,et0_fao_evapotranspiration,shortwave_radiation_sum,uv_index_max,uv_index_clear_sky_max
2025-08-12,,45028.05,,,,,,,
2025-08-13,,44997.3,,,,,,,
2025-08-14,,44966.39,,,,,,,
2025-08-15,,44935.27,,,,,,,
2025-08-16,,44903.73,,,,,,,
2025-08-17,,44871.79,,,,,,,
2025-08-18,,44839.46,,,,,,,
2025-08-19,,44806.79,,,,,,,
2025-08-20,,44773.8,,,,,,,
2025-08-21,,44740.51,,,,,,,
2025-08-22,80.0,44706.95,,100.0,12.0,,,8.65,8.65
2025-08-23,81.0,44673.16,97.0,100.0,25.0,4.35,21.05,7.7,8.7
2025-08-24,95.0,44639.15,61.0,100.0,13.0,4.25,18.01,8.25,8.6
2025-08-25,55.0,44604.95,52.0,100.0,4.0,5.05,21.15,8.15,8.65
2025-08-26,95.0,44570.59,60.0,100.0,8.0,5.82,25.34,8.8,8.8
2025-08-27,95.0,44536.09,100.0,100.0,96.0,5.1,21.29,7.55,8.65
2025-08-28,95.0,44501.48,56.0,100.0,6.0,5.77,23.43,8.8,8.8
2025-08-29,95.0,44466.78,19.0,100.0,0.0,5.95,25.71,8.8,8.8
2025-08-30,95.0,44432.02,80.0,100.0,6.0,4.67,19.16,8.7,8.7
2025-08-31,53.0,44397.22,76.0,100.0,16.0,5.17,22.19,8.3,8.7
2025-09-01,80.0,44362.4,69.0,100.0,12.0,5.1,24.33,8.9,8.9
2025-09-02,80.0,44327.59,93.0,101.0,25.0,4.5,20.26,7.3,8.9
2025-09-03,80.0,44292.8,97.0,100.0,68.0,4.92,22.29,8.15,8.9
2025-09-04,81.0,44257.98,99.0,100.0,71.0,4.38,19.31,8.05,8.95
2025-09-05,95.0,44222.91,100.0,100.0,92.0,2.53,11.6,7.7,8.9
2025-09-06,80.0,44187.59,97.0,100.0,65.0,3.88,18.24,7.25,8.9
2025-09-07,95.0,44152.05,98.0,100.0,84.0,3.64,18.09,7.3,8.95
2025-09-08,95.0,44116.32,85.0,100.0,26.0,4.15,20.39,8.7,8.95
2025-09-09,80.0,44080.42,75.0,100.0,31.0,4.9,22.78,8.95,8.95
2025-09-10,80.0,44044.38,80.0,100.0,27.0,5.0,22.27,9.0,9.0
2025-09-11,80.0,44008.2,88.0,100.0,55.0,5.18,22.5,8.55,9.0
2025-09-12,80.0,43971.93,100.0,100.0,93.0,3.42,15.26,6.8,8.9
2025-09-13,95.0,43935.59,83.0,100.0,29.0,4.7,21.98,7.8,8.9
2025-09-14,95.0,43899.19,98.0,100.0,50.0,4.86,20.99,8.75,8.9
2025-09-15,80.0,43862.76,57.0,100.0,8.0,5.05,23.54,8.7,8.95
2025-09-16,96.0,43826.32,68.0,100.0,13.0,4.71,21.21,8.8,8.9
2025-09-17,95.0,43789.91,73.0,100.0,30.0,4.41,21.48,8.45,8.9
2025-09-18,96.0,43753.53,84.0,100.0,25.0,3.92,19.58,8.1,8.95
2025-09-19,95.0,43717.21,98.0,100.0,45.0,3.72,18.36,8.9,8.9
2025-09-20,80.0,43680.97,75.0,100.0,27.0,4.48,21.3,8.7,8.9
2025-09-21,80.0,43644.84,71.0,100.0,25.0,4.9,23.05,8.9,8.95
2025-09-22,95.0,43608.84,86.0,100.0,46.0,4.39,20.88,8.9,8.9
2025-09-23,3.0,43572.98,56.0,100.0,9.0,4.91,22.99,7.55,8.85
2025-09-24,3.0,43537.22,79.0,100.0,16.0,4.86,21.76,8.0,8.9
2025-09-25,95.0,43501.3,97.0,100.0,53.0,3.45,16.03,8.2,8.85
2025-09-26,95.0,43465.25,81.0,100.0,49.0,4.07,19.95,8.4,8.85
2025-09-27,95.0,43429.09,100.0,100.0,100.0,3.83,18.34,7.95,8.8
2025-09-28,80.0,43392.84,78.0,100.0,21.0,4.52,22.45,7.8,8.8
2025-09-29,96.0,43356.52,95.0,100.0,42.0,3.98,18.8,8.8,8.85
2025-09-30,96.0,43320.17,79.0,100.0,39.0,4.1,19.71,8.05,8.8
2025-10-01,80.0,43283.8,84.0,100.0,30.0,4.13,20.49,8.15,8.7
2025-10-02,80.0,43247.45,100.0,100.0,95.0,3.57,16.69,6.45,8.75
2025-10-03,95.0,43211.13,93.0,100.0,47.0,4.5,21.47,7.35,8.65
2025-10-04,96.0,43174.87,100.0,100.0,90.0,3.75,18.24,5.8,8.65
2025-10-05,95.0,43138.69,82.0,100.0,41.0,4.64,20.97,7.85,8.65
2025-10-06,96.0,43102.62,93.0,100.0,56.0,4.48,20.54,8.65,8.65
2025-10-07,80.0,43066.68,62.0,100.0,26.0,4.41,21.28,7.8,8.6
2025-10-08,95.0,43030.9,100.0,100.0,100.0,3.98,17.85,6.75,8.65
2025-10-09,95.0,42995.31,99.0,100.0,83.0,3.97,18.9,8.15,8.6
2025-10-10,95.0,42959.93,98.0,100.0,84.0,3.65,17.42,7.1,8.55
2025-10-11,95.0,42924.77,99.0,100.0,84.0,3.46,16.7,6.35,8.55
2025-10-12,80.0,42889.88,80.0,100.0,0.0,4.11,20.51,8.55,8.55
2025-10-13,95.0,42855.28,71.0,100.0,9.0,4.35,20.98,8.55,8.55
2025-10-14,80.0,42820.89,89.0,100.0,26.0,4.35,20.61,7.85,8.5
2025-10-15,95.0,42786.46,100.0,100.0,100.0,3.72,16.93,8.05,8.45
2025-10-16,80.0,42752.02,89.0,100.0,60.0,3.55,17.47,6.45,8.45
2025-10-17,80.0,42717.57,93.0,100.0,55.0,3.92,19.86,7.5,8.45
2025-10-18,95.0,42683.16,75.0,100.0,30.0,4.38,20.78,8.4,8.4
2025-10-19,3.0,42648.8,86.0,100.0,11.0,4.32,20.15,7.9,8.35
2025-10-20,95.0,42614.54,99.0,100.0,83.0,3.53,15.85,6.4,8.35
2025-10-21,95.0,42580.39,94.0,100.0,45.0,3.75,17.38,6.45,8.25
2025-10-22,95.0,42546.39,92.0,100.0,65.0,4.27,19.38,6.35,8.3
2025-10-23,95.0,42512.57,74.0,100.0,7.0,3.84,18.4,7.05,8.25
2025-10-24,95.0,42478.96,99.0,100.0,75.0,3.62,17.01,6.85,8.25
2025-10-25,96.0,42445.58,85.0,100.0,37.0,4.04,19.48,5.25,8.25
2025-10-26,95.0,42412.48,86.0,100.0,40.0,3.94,19.25,7.85,8.2
2025-10-27,96.0,42379.67,97.0,100.0,64.0,3.92,18.38,6.05,8.2
2025-10-28,96.0,42347.19,81.0,100.0,36.0,4.55,21.65,8.15,8.15
2025-10-29,95.0,42315.09,91.0,100.0,65.0,3.84,18.76,6.05,8.15
2025-10-30,80.0,42283.37,80.0,100.0,20.0,4.04,19.47,7.65,8.1
2025-10-31,80.0,42252.09,90.0,100.0,48.0,3.57,16.42,7.1,8.1
2025-11-01,80.0,42221.26,41.0,100.0,0.0,4.48,21.65,7.35,7.95
2025-11-02,80.0,42190.94,68.0,100.0,0.0,4.04,19.36,7.45,7.95
2025-11-03,95.0,42161.04,97.0,100.0,67.0,3.18,14.88,7.45,7.95
2025-11-04,80.0,42131.3,73.0,100.0,20.0,4.11,18.41,7.4,7.9
2025-11-05,95.0,42101.74,48.0,81.0,16.0,4.54,20.86,7.9,7.9
2025-11-06,80.0,42072.38,66.0,100.0,25.0,4.16,19.1,7.3,7.85
2025-11-07,80.0,42043.26,71.0,100.0,0.0,4.36,19.67,7.7,7.85
2025-11-08,3.0,42014.4,91.0,100.0,1.0,4.78,19.89,7.5,7.8
2025-11-09,80.0,41985.85,80.0,100.0,21.0,4.73,20.62,7.15,7.8
2025-11-10,96.0,41957.63,98.0,100.0,59.0,3.32,14.95,7.35,7.75
2025-11-11,95.0,41929.78,92.0,100.0,52.0,2.88,12.52,5.25,7.8
2025-11-12,80.0,41902.32,95.0,100.0,54.0,4.16,18.03,7.55,7.75
2025-11-13,80.0,41875.3,74.0,100.0,38.0,4.33,19.69,6.8,7.7
2025-11-14,80.0,41848.75,64.0,100.0,25.0,4.16,18.77,7.65,7.7
2025-11-15,95.0,41822.7,99.0,100.0,91.0,2.89,14.18,3.15,7.65
2025-11-16,80.0,41797.19,100.0,100.0,100.0,3.11,15.22,3.1,7.6
2025-11-17,3.0,41772.25,86.0,100.0,52.0,4.07,18.09,3.75,7.35
2025-11-18,3.0,41747.93,64.0,99.0,46.0,4.68,20.11,6.45,7.3
2025-11-19,3.0,41724.25,66.0,100.0,42.0,4.08,18.87,6.65,7.25
2025-11-20,53.0,41701.25,100.0,100.0,100.0,2.52,12.63,4.05,7.25
2025-11-21,51.0,41678.97,98.0,100.0,87.0,3.78,17.65,6.6,7.2
2025-11-22,53.0,41657.45,98.0,100.0,94.0,3.54,16.95,6.4,7.2
2025-11-23,51.0,41636.64,72.0,100.0,27.0,4.21,19.53,6.65,7.15
2025-11-24,51.0,41616.31,100.0,100.0,100.0,2.89,13.55,4.35,7.15
2025-11-25,51.0,41596.47,100.0,100.0,100.0,2.3,10.48,4.7,7.1
2025-11-26,51.0,41577.14,93.0,100.0,76.0,3.79,18.7,6.75,7.15
2025-11-27,51.0,41558.36,100.0,100.0,92.0,2.82,13.32,5.9,7.1
